Handle,Title,Vendor,Type,Tags,Status,Price Range,Compare At Price,Variant Options (Sizes),Variant Count,Total Inventory,Description (Summary),Category,Image Src,Created At,Published
chinese-lapsang-souchong-black-tea,Chinese Lapsang Souchong Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Heart Health, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Smoky, Format_Loose Leaf, Origin_China",Active,$16.94 - $2821.18,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Meet the legendary "father of tea," renowned for its distinct campfire aroma and smooth finish. Smoke-dried over a pinewood fire, each leaf carries a bold, smoky essence that's as captivating as its centuries-old heritage. Packed with antioxidants, this black tea offers a hearty sip for those see...","Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Lapsang1.jpg?v=1750439454,2020-12-01 05:34:11 -0800,true
chinese-mao-feng-green-tea,Chinese Mao Feng Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Weight Management, Caffeine_High Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Nutty, Flavor_Smoky, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_China",Active,$14.86 - $825.51,,250g | 500g | 1kg | 5kg | 25kg,5,,"A high grade classic green tea with a rich finish. Originating from regions in China, this tea is known for its silky texture and its smooth finish. Taste Notes Rich, Lightly Sweet, Smokey Ingredients Organic Chinese Green Tea Steeping Instructions For A Divine Cup Heat freshly drawn cold water t...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Maofeng1.jpg?v=1750439457,2020-12-01 05:34:07 -0800,true
chocolate-kisses-black-tea,Chocolate Kisses Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Chocolatey, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf, Origin_India",Active,$15.63 - $1736.11,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Indulge in Luxury with Chocolate Kisses Black Tea Experience the divine blend of Divine Ingredients' Chocolate Kisses Black Tea , where the deep flavors of organic Assam Black Tea blend seamlessly with the rich essence of sustainably sourced cocoa shells . This exquisite black tea blend is a symp...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Cocoaes1.jpg?v=1750439463,2020-12-01 05:33:58 -0800,true
chocolate-mint-black-tea,Chocolate Mint Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Digestive Health, Benefit_Energy, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Chocolatey, Flavor_Floral, Flavor_Minty, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Format_Loose Leaf, Origin_Sri Lanka",Active,$15.63 - $1736.11,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Elevate your tea routine with this indulgent fusion of smooth Organic Ceylon leaves, rich cocoa shells, and refreshing peppermint. Each sip balances a sweet chocolate aroma with a brisk, minty finish—perfect for tea lovers and chocoholics alike. Subtle floral notes round out the blend, making it ...","Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Cocoant1.jpg?v=1750439461,2020-12-01 05:34:00 -0800,true
cinnamon-vanilla-zest-herbal-tea,Cinnamon Vanilla Zest Herbal Tea,Divine Organic Ingredients,Herbal Tea,"Caffeine_Caffeine Free, Category_Herbal Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Herbal, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Format_Loose Leaf",Active,$15.63 - $1736.11,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"A well balanced sweet and spicy herbal that leaves lingering notes of vanilla in its path. This deliciously warm drink is perfect for the fall as you cozy up by the fireplace. Taste Notes Spicy, Vanilla, Cinnamon Ingredients Organic Honey Bush, Red Rooibos, Cinnamon and Natural Vanilla Flavors. S...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Cinnast1.jpg?v=1750439419,2020-12-01 05:35:09 -0800,true
classic-english-breakfast-black-tea,Classic English Breakfast Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Vegan, Flavor_Floral, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf, Origin_India",Active,$14.06 - $1562.50,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"With a smooth start and finish, this tea tastes as elegant as it sounds. With notes of sweetness and a floral aroma, English Breakfast is the premium of organic black teas. As one of the most popular blended black teas, especially in Irish and British cultures, this tea goes excellent with milk a...","Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Breakis1.jpg?v=1750439464,2020-12-01 05:33:57 -0800,true
culinary-matcha,Culinary Matcha Green Tea Powder,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Focus, Benefit_Weight Management, Caffeine_High Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Earthy, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_Japan",Active,$11.55 - $1283.34,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Our Culinary grade Matcha green tea pairs perfectly to make Matcha smoothies, shakes or bake, often referred Cooking Matcha. Illuminating a vibrant green color with a unique earthly flavor. Taste Notes Earthy, Slight Sweet, Robust Ingredients Organic Japanese Green Tea Steeping Instructions For A...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Culinha1.jpg?v=1750439372,2020-12-08 12:57:50 -0800,true
divine-earl-grey-black-tea,Divine Earl Grey Black Tea,Divine Organic Ingredients,Black Tea,"Benefit_Energy, Benefit_Relaxation, Benefit_Skin Health, Caffeine_High Caffeine, Category_Black Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Floral, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf, Origin_India",Active,$15.63 - $1736.11,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Reimagine the classic Earl Grey with a divine twist. This exquisite blend combines the bold, malty flavor of Organic Assam Black Tea with fragrant bergamot and delicate rose petals for a floral infusion that's smooth, refreshing, and perfectly balanced. Ideal for a calming afternoon tea or a brig...","Food, Beverages & Tobacco > Beverages > Tea & Infusions > Tea",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Diviney1.jpg?v=1750439459,2020-12-01 05:34:02 -0800,true
divine-ruby-red-iced-tea,Divine Ruby Red Iced Tea,Divine Organic Ingredients,Iced Tea,"Benefit_Heart Health, Benefit_Skin Health, Caffeine_Light Caffeine, Category_Iced Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Floral, Flavor_Fruity, Flavor_Herbal, Flavor_Nutty, Format_Loose Leaf",Active,$14.06 - $1562.50,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Red berries and rooibos make a splendid cup of iced tea. With deep flavors and color, this tea is one of our must-tries. Taste Notes Tropical, Aromatic, Fruity Ingredients Organic Rooibos with Hibiscus, Berries, Rosehips, and Natural Flavors Steeping Instructions For A Divine Cup Heat freshly dra...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IT.Divines1.jpg?v=1750439408,2020-12-01 05:35:36 -0800,true
divine-tangy-lemon-iced-tea,Divine Tangy Lemon Iced Tea,Divine Organic Ingredients,Iced Tea,"Benefit_Relaxation, Caffeine_Light Caffeine, Category_Iced Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Fruity, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf",Active,$14.06 - $1562.50,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Discover the ultimate citrus refreshment with Divine Tangy Lemon Iced Tea. This vibrant blend combines the zest of organic lemongrass, citrus fruits, and lemon verbena, offering a light, tropical flavor that dances on your palate. Perfect for cooling down on a hot day or enjoying a moment of pure...","Food, Beverages & Tobacco > Beverages > Tea & Infusions",https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IT.Divinon1_1.jpg?v=1750439406,2020-12-01 05:35:38 -0800,true
elderberry-green-tea,Organic Elderberry Green Tea,Divine Organic Ingredients,Green Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Heart Health, Benefit_Immune Support, Benefit_Relaxation, Benefit_Weight Management, Caffeine_Light Caffeine, Category_Green Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Floral, Flavor_Fruity, Flavor_Nutty, Flavor_Sweet, Flavor_Vegetal, Format_Loose Leaf, Origin_India",Active,$15.63 - $2604.16,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"A delicious green tea with notes of sweet lemon. Not only is this tea good for your health but perfect for relaxation. Taste Notes Sweet, Fruity, Slight Citrus Ingredients Organic Darjeeling Green Tea with Elderberries, Orange Peel, Hibiscus and Natural Flavors Steeping Instructions For A Divine ...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Elderen1.jpg?v=1750439443,2020-12-01 05:34:26 -0800,true
energize-hemp-tea,Energize Hemp Tea,Divine Organic Ingredients,Hemp Tea,"Benefit_Antioxidant Rich, Benefit_Energy, Benefit_Focus, Benefit_Heart Health, Benefit_Protein, Benefit_Relaxation, Caffeine_Medium Caffeine, Category_Hemp Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Chocolatey, Flavor_Citrus, Flavor_Fruity, Flavor_Nutty, Flavor_Spicy, Flavor_Sweet, Format_Loose Leaf",Active,$58.44,,,1,,"Energize Hemp Tea - Natural Energy & Focus Boost Start your day right with our Energize Hemp Tea, an invigorating blend of hemp hearts, coffee cherry, and energizing spices . This delicious morning tea delivers natural energy with the rich notes of cocoa and warming cinnamon. Energy Benefits Natu...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HempEnergizeHero.jpg?v=1750439293,2022-01-31 10:57:37 -0800,true
fruit-cup-herbal-tea,Fruit Cup Herbal Tea,Divine Organic Ingredients,Herbal Tea,"Caffeine_Caffeine Free, Category_Herbal Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Fruity, Flavor_Herbal, Flavor_Nutty, Flavor_Sweet, Format_Loose Leaf",Active,$15.63 - $1736.11,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"Fruit salad in a cup, and you guessed it, it IS yummy! A blend of organic fruit pieces that orchestrate together to create a light and sweet summery drink Taste Notes Light, Fruity, Citrus Ingredients Organic Lemon Peel, Apple Pieces, Cranberry and Papaya Pieces with Natural Flavors. Steeping Ins...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Fruitd1_1.jpg?v=1750439417,2020-12-01 05:35:12 -0800,true
ginger-turmeric-lemongrass-wellness-tea,Ginger Turmeric Lemongrass Wellness Tea,Divine Organic Ingredients,Wellness Tea,"Benefit_Anti-Inflammatory, Benefit_Digestive Health, Benefit_Relaxation, Caffeine_Medium Caffeine, Category_Wellness Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Fruity, Flavor_Herbal, Flavor_Nutty, Flavor_Spicy, Format_Loose Leaf",Active,$17.58 - $2929.69,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"A perfect blend of calming herbs. Nature's perfect orchestra of herbs that does wonders for a cold and is perfect for anytime of the day. Taste Notes Pungent, Spicy, Citrus Ingredients Organic Lemon Peel. Lemongrass, Turmeric and Ginger Steeping Instructions For A Divine Cup Heat freshly drawn co...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/WT.Gingess1.jpg?v=1750439379,2020-12-01 05:36:23 -0800,true
glass-tea-pot,Divine Artisan Glass Tea Pot,Divine Organic Ingredients,Accessories,"Benefit_Weight Management, Category_Accessories, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan",Active,$29.30,,,1,,"Enjoy our beautifully crafted simple glass teapot. A complete set that makes lukewarm tea, a problem of the past. This light-weight teapot comes with a built in infuser and a Teapot Warmer with a votive candle. The Divine Difference Every batch is independently lab-tested for purity, potency, and...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SUPREEM-2.jpg?v=1750439371,2020-12-09 22:56:10 -0800,true
golden-pineapple-oolong-tea,Golden Pineapple Oolong Tea,Divine Organic Ingredients,Oolong Tea,"Benefit_Antioxidant Rich, Benefit_Skin Health, Benefit_Weight Management, Caffeine_Medium Caffeine, Category_Oolong Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Sugar Free, Dietary_Vegan, Flavor_Floral, Flavor_Fruity, Flavor_Nutty, Flavor_Sweet, Flavor_Woody, Format_Loose Leaf",Active,$20.18 - $3363.73,,50g | 100g | 250g | 500g | 1kg | 5kg | 25kg,7,,"Pineapple Oolong Tea – A Tropical Twist on a Classic Experience a delightful medley of flavors with our Pineapple Oolong Tea . This aromatic blend introduces exciting pineapple notes to your palate, offering a smooth sweetness that dances with every sip. Crafted from premium oolong tea leaves, ju...",Uncategorized,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/OT.Goldeg_201.jpg?v=1750439400,2020-12-01 05:35:48 -0800,true
heart-hemp-tea,Heart Hemp Tea,Divine Organic Ingredients,Hemp Tea,"Benefit_Anti-Inflammatory, Benefit_Digestive Health, Benefit_Heart Health, Benefit_Immune Support, Benefit_Protein, Benefit_Relaxation, Caffeine_No Caffeine, Category_Hemp Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Citrus, Flavor_Fruity, Flavor_Nutty, Flavor_Spicy, Format_Loose Leaf",Active,$58.44,,,1,,"Heart Hemp Tea - Turmeric Ginger Immune Support Strengthen your body's natural defenses with our Heart Hemp Tea, a powerful blend of organic hemp hearts, turmeric, and ginger . This wellness tea combines the nutty richness of toasted hemp hearts with the immune-boosting properties of golden turme...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HempHeartHealthHero.jpg?v=1750439290,2022-02-02 06:39:43 -0800,true
hibiscus-punch-herbal-tea,Hibiscus Punch Herbal Tea,Divine Organic Ingredients,Herbal Tea,"Benefit_Heart Health, Caffeine_Caffeine Free, Category_Herbal Tea, Dietary_Dairy Free, Dietary_Gluten Free, Dietary_Non-GMO, Dietary_Nut Free, Dietary_Organic, Dietary_Sugar Free, Dietary_Vegan, Flavor_Floral, Flavor_Fruity, Flavor_Herbal, Flavor_Nutty, Format_Loose Leaf",Active,$14.85 - $1649.31,,100g | 250g | 500g | 1kg | 5kg | 25kg,6,,"A full bodied hibiscus dominating herbal that is perfectly complimented by the fruity flavors of mango and raspberry. Goes amazing as an iced tea. Taste Notes Tart, Slight Fruity, Thick Ingredients Organic Hibiscus, Cranberries, Blackcurrants, and Natural Flavors Steeping Instructions For A Divin...",,https://cdn.shopify.com/s/files/1/0506/6965/0095/products/HT.Hibisch1.jpg?v=1750439416,2020-12-01 05:35:15 -0800,true
